Nodes ,,,,,,,
Index,XCoord(ft),YCoord(ft),Constraint,XForce(kip),YForce(kip),BeamIdxs,
0,-57.16554762,10,pin,-0.509,-1.243,0;3,
1,-33.16554762,20,,0.223,-1.325,2;9;12;16;18,
2,-9.165547622,10,pin,0.725,-0.725,8;11,
3,-33.16554762,10,pin,0,0,5;6;12,
4,-41.33221429,10,,0,0,4;5;13;15;16,
5,-41.33221429,16.59722222,,-1.035,-1.608,1;2;13,
6,-24.99888095,10,,0,0,6;7;14;17;18,
7,-24.99888095,16.59722222,,1.474,-0.556,9;10;14,
8,-49.24888095,13.29861111,,-1.019,-1.596,0;1;15;19,
9,-17.08221429,13.29861111,,1.451,-0.56,10;11;17;20,
10,-49.24888095,10,,0,0,3;4;19,
11,-17.08221429,10,,0,0,7;8;20,
Beams,,,,,,,
Index,Start Node,End Node,Section Type,Material,Sdir,Tdir,Udir
0,0,8,W Shapes:W12X19,Steel ASTM A992,,,
1,8,5,W Shapes:W12X19,Steel ASTM A992,,,
2,5,1,W Shapes:W12X19,Steel ASTM A992,,,
3,0,10,W Shapes:W12X19,Steel ASTM A992,,,
4,10,4,W Shapes:W12X19,Steel ASTM A992,,,
5,4,3,W Shapes:W12X19,Steel ASTM A992,,,
6,3,6,W Shapes:W12X19,Steel ASTM A992,,,
7,6,11,W Shapes:W12X19,Steel ASTM A992,,,
8,11,2,W Shapes:W12X19,Steel ASTM A992,,,
9,1,7,W Shapes:W12X19,Steel ASTM A992,,,
10,7,9,W Shapes:W12X19,Steel ASTM A992,,,
11,9,2,W Shapes:W12X19,Steel ASTM A992,,,
12,3,1,W Shapes:W12X19,Steel ASTM A992,,,
13,4,5,W Shapes:W12X19,Steel ASTM A992,,,
14,6,7,W Shapes:W12X19,Steel ASTM A992,,,
15,8,4,W Shapes:W12X19,Steel ASTM A992,,,
16,4,1,W Shapes:W12X19,Steel ASTM A992,,,
17,6,9,W Shapes:W12X19,Steel ASTM A992,,,
18,1,6,W Shapes:W12X19,Steel ASTM A992,,,
19,10,8,W Shapes:W12X19,Steel ASTM A992,,,
20,11,9,W Shapes:W12X19,Steel ASTM A992,,,
